%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
4.18399837	-0.51881460	-1.20548100
4.19199837	-0.51881460	-1.09866600
4.19999837	-0.53407390	-1.02237000
4.20799837	-0.56459240	-0.97659220
4.21599837	-0.59511090	-0.96133300
4.22399837	-0.65614790	-0.99185150
4.23199837	-0.73244420	-1.03762900
4.23999837	-0.80874040	-1.11392600
4.24799837	-0.91555520	-1.22074000
4.25599837	-1.02237000	-1.34281400
4.26399837	-1.12918500	-1.43437000
4.27199837	-1.23600000	-1.51066600
4.27999837	-1.32755500	-1.55644400
4.28799837	-1.41911100	-1.60222200
4.29599837	-1.49540700	-1.63274000
4.30399837	-1.57170300	-1.60222200
4.31199837	-1.60222200	-1.55644400
4.31999837	-1.60222200	-1.49540700
4.32799837	-1.60222200	-1.46488800
4.33599837	-1.60222200	-1.41911100
4.34399837	-1.55644400	-1.37333300
4.35199837	-1.49540700	-1.32755500
4.35999837	-1.43437000	-1.28177700
4.36799837	-1.35807400	-1.28177700
4.37599837	-1.29703700	-1.26651800
4.38399837	-1.22074000	-1.23600000
4.39199836	-1.15970300	-1.20548100
4.39999836	-1.11392600	-1.15970300
4.40799836	-1.08340700	-1.14444400
4.41599836	-1.05288900	-1.12918500
4.42399836	-1.03762900	-1.09866600
4.43199836	-1.03762900	-1.08340700
4.43999836	-1.05288900	-1.08340700
4.44799836	-1.08340700	-1.09866600
4.45599836	-1.09866600	-1.12918500
4.46399836	-1.14444400	-1.19022200
4.47199836	-1.15970300	-1.25125900
4.47999836	-1.17496300	-1.32755500
4.48799836	-1.19022200	-1.40385100
4.49599836	-1.19022200	-1.49540700
4.50399836	-1.17496300	-1.55644400
4.51199836	-1.15970300	-1.60222200
4.51999836	-1.12918500	-1.63274000
4.52799836	-1.06814800	-1.63274000
4.53599836	-1.02237000	-1.61748100
4.54399836	-0.96133300	-1.58696200
4.55199836	-0.90029600	-1.54118500
4.55999836	-0.82399970	-1.48014800
4.56799836	-0.77822200	-1.41911100
4.57599836	-0.71718490	-1.37333300
4.58399836	-0.68666640	-1.34281400
4.59199836	-0.65614790	-1.32755500
4.59999836	-0.62562940	-1.32755500
4.60799836	-0.62562940	-1.34281400
4.61599836	-0.64088860	-1.38859200
4.62399836	-0.65614790	-1.43437000
4.63199836	-0.68666640	-1.51066600
4.63999836	-0.71718490	-1.55644400
4.64799836	-0.74770340	-1.61748100
4.65599836	-0.79348120	-1.64799900
4.66399836	-0.80874040	-1.67851800
4.67199836	-0.83925900	-1.69377700
4.67999836	-0.86977740	-1.69377700
4.68799836	-0.86977740	-1.67851800
4.69599836	-0.88503670	-1.64799900
4.70399836	-0.86977740	-1.63274000
4.71199836	-0.85451820	-1.61748100
4.71999836	-0.85451820	-1.60222200
4.72799836	-0.80874040	-1.58696200
4.73599836	-0.77822200	-1.58696200
4.74399836	-0.74770340	-1.58696200
4.75199835	-0.71718490	-1.58696200
4.75999835	-0.70192570	-1.58696200
4.76799835	-0.67140720	-1.57170300
4.77599835	-0.65614790	-1.54118500
4.78399835	-0.65614790	-1.51066600
4.79199835	-0.65614790	-1.48014800
4.79999835	-0.67140720	-1.44962900
4.80799835	-0.68666640	-1.38859200
4.81599835	-0.70192570	-1.35807400
4.82399835	-0.74770340	-1.34281400
4.83199835	-0.77822200	-1.34281400
