%Time	Channel A
%(us)	(mV)
%
8.79200061	0.84231080
8.80000061	0.90639970
8.80800061	0.95828120
8.81600061	1.02847400
8.82400061	1.05899200
8.83200061	1.07120000
8.84000061	1.08340700
8.84800061	1.04068100
8.85600061	0.98879970
8.86400061	0.96438490
8.87200061	0.88808860
8.88000061	0.82094790
8.88800061	0.76296280
8.89600061	0.70802940
8.90400061	0.65919980
8.91200061	0.62562940
8.92000061	0.61037020
8.92800061	0.59205910
8.93600061	0.61647390
8.94400061	0.66225170
8.95200061	0.71108130
8.96000061	0.75685910
8.96800061	0.82705160
8.97600061	0.91555530
8.98400061	0.96133300
8.99200061	1.02542200
9.00000061	1.07120000
9.00800061	1.08340700
9.01600061	1.11697700
